name                            ,protocol,OI   ,OS   ,OD   ,I  ,S  ,D  ,TP     ,FP     ,UP,TN     ,FN     ,UN
7be5d0b068e5df261431496286c1e86f,UDP     ,3    ,1    ,124  ,3  ,1  ,124,2845037,30     ,0 ,2749399,0      ,38
7c48b9dc3286acde9c1419cd07be1c7d,UDP     ,6    ,1    ,137  ,6  ,1  ,137,1065098,28     ,0 ,3135238,0      ,4
7c4aea89cbb214c2decbcf8f54f82c9a,TCP     ,27219,22439,1    ,765,53 ,1  ,8506203,421165 ,43,1045163,325    ,0
7d6ec50671440bf773a76f0da7c5e1d8,TCP     ,6426 ,6123 ,1    ,927,32 ,1  ,8543620,302037 ,21,1155910,1348   ,5
7f19b44817e1d16ea99933c6bce54131,UDP     ,66423,41778,1    ,360,51 ,1  ,4227975,147752 ,2 ,1437549,0      ,63
7f2b2ef41a396bbd0269a4801fd84274,UDP     ,37   ,1    ,37   ,37 ,1  ,37 ,2102929,4      ,0 ,3135262,0      ,20
7fc0cd836b1f8b32bae78b6cd7cacf46,TCP     ,1906 ,2047 ,1    ,978,14 ,1  ,7771246,720142 ,68,1179072,5414   ,1
7ff63ada8c94b8d6064aa26f7e9efbac,UDP     ,15   ,1    ,172  ,15 ,1  ,172,1037143,32     ,0 ,3135234,5606   ,19
8300a94be92bd2f0ecf489eee728b626,UDP     ,5    ,1    ,132  ,5  ,1  ,132,1748668,55     ,0 ,3135207,3363   ,16
83612b86275de6b6d624f04e310fb903,UDP     ,18   ,1    ,18   ,18 ,1  ,18 ,3960890,3      ,0 ,2805415,0      ,20
8396012ed87a8538b18b325955170e82,TCP     ,13771,12446,1    ,365,556,1  ,8807976,441985 ,19,1122631,0      ,1
848629338acdeb4b38b6486a342aa949,TCP     ,5947 ,5670 ,1    ,968,18 ,1  ,8484049,404974 ,16,1039051,0      ,1
86bf22271e530d57313cc3c4d2e73c9d,UDP     ,16   ,1    ,401  ,16 ,1  ,401,0      ,0      ,0 ,0      ,0      ,0
86fdab682103f9ef28ed04ce7fd15e0a,TCP     ,32756,25765,1    ,649,12 ,1  ,0      ,0      ,0 ,0      ,0      ,0
8872a9dbe3bd77b5c0ada46e017d18b6,TCP     ,19528,16776,1    ,311,259,1  ,6444308,315831 ,25,805055 ,335    ,0
88adde96b22526523c80ab58c04d48cd,TCP     ,10400,9616 ,1    ,488,67 ,1  ,7922284,413021 ,31,1045299,0      ,1
894d272c5ec151356713c9190e3e1db1,TCP     ,12372,11297,1    ,132,680,1  ,6962253,408731 ,31,773017 ,0      ,0
8a97b302d5a323de03cf4016c2f76bbe,TCP     ,16177,14328,1    ,380,396,1  ,8008309,386938 ,24,990447 ,473    ,5
8b306430e7e44749438a7a76c8f49137,TCP     ,30716,24482,1    ,653,46 ,1  ,8594666,446232 ,30,1097731,0      ,0
8b5ee8f1ee04cc454040cbe9137806c0,TCP     ,5919 ,5682 ,1    ,974,10 ,1  ,0      ,0      ,0 ,0      ,0      ,0
8d031b0dcaa77b2cd4d015ced7b3cfe1,TCP     ,5856 ,5594 ,1    ,962,25 ,1  ,8450770,382093 ,24,1078810,0      ,1
8da6cac139ae8bb3a3fef80a7dfbf099,TCP     ,18751,16403,1    ,304,248,1  ,8735562,430053 ,23,1086139,479    ,0
8e4c9e0a6e37b2eb954a868db67b6b4d,UDP     ,7    ,1    ,241  ,7  ,1  ,241,1541246,102    ,0 ,3135164,0      ,11
