name                            ,protocol,src_ips,src_ports,dst_ports,TP     ,FP,UP,TN     ,FN     ,UN
95120088fead57b6620bba06ee0ba5ca,UDP     ,5      ,1        ,170      ,2133823,0 ,0 ,1244171,0      ,3
955a5cd15843aa5c4155fd3f69651e15,TCP     ,2      ,1        ,1        ,8731149,0 ,0 ,569159 ,53633  ,9
956b0d4feeafbdb4d125effbaec29cfd,TCP     ,1906   ,2047     ,1        ,0      ,0 ,0 ,0      ,0      ,0
967a3709db351926be99ddc0f7d4697a,UDP     ,11     ,1        ,239      ,2383600,0 ,0 ,1244171,0      ,19
968117c31b16d683deae5f5ec641c88f,TCP     ,212    ,8538     ,1        ,0      ,0 ,0 ,0      ,0      ,0
97fd9c08bd2d121abbe4d9d7e85a9fab,UDP     ,7      ,1        ,7        ,4009803,0 ,0 ,1036234,699434 ,26
983d0d3be373f51f249d1c0144c552ed,UDP     ,1099   ,9        ,1        ,0      ,0 ,0 ,0      ,0      ,0
9ae4af2b74c64e5243e5ef791c9894ff,UDP     ,14     ,1        ,488      ,0      ,0 ,0 ,0      ,0      ,0
9b5987a259eab74e3a70189fc22ed529,TCP     ,1811   ,1788     ,1        ,0      ,0 ,0 ,0      ,0      ,0
9b87222053c383934c1347e45f383701,UDP     ,18     ,1        ,327      ,2447199,0 ,0 ,1244171,20622  ,19
9c436570b69e98e36fcff55f51b7db02,UDP     ,35     ,1        ,35       ,3919372,0 ,0 ,922011 ,0      ,13
9f2d134c9d1f77d377420946b382ca9c,UDP     ,15     ,1        ,336      ,1494573,0 ,0 ,1244171,0      ,7
a0b8ad7dad118fc46736b8d52a6e9c60,TCP     ,2463   ,2425     ,1        ,0      ,0 ,0 ,0      ,0      ,0
a3644f57a18ccb958a3d64f96e943828,UDP     ,10     ,1        ,302      ,1743892,0 ,0 ,1244171,0      ,42
a3bbaba745fbded23fc3217df906cff5,UDP     ,6      ,1        ,101      ,2515943,0 ,0 ,1244171,0      ,21
a3e78a6e687223edf712320712686ab2,UDP     ,27     ,1        ,27       ,3875494,0 ,0 ,824615 ,78589  ,7
a60c98fd7a78dfdcded33d10dd889e2e,UDP     ,8      ,1        ,124      ,5341363,0 ,0 ,1239246,0      ,8
a89b7e2b2c68423fb5a2cd59bb938ea8,UDP     ,153    ,1        ,985      ,0      ,0 ,0 ,0      ,0      ,0
a8fa7478dc84619cc3ff106a04363c00,UDP     ,168    ,1        ,986      ,0      ,0 ,0 ,0      ,0      ,0
aa7f71f906200ade61bba505156343cc,TCP     ,3358   ,3280     ,1        ,0      ,0 ,0 ,0      ,0      ,0
abdc10fabdb343768c96dc3e3d30372a,UDP     ,15     ,1        ,640      ,0      ,0 ,0 ,0      ,0      ,0
acc4394329ad248f5e77c165804a0bc6,UDP     ,4      ,1        ,98       ,2545968,0 ,0 ,1244171,0      ,21
