name                            ,protocol,OI   ,OS   ,OD   ,I  ,S  ,D  ,TP     ,FP    ,UP,TN     ,FN     ,UN
5745d17a8591ba66f264c19a9aa00320,UDP     ,6    ,1    ,225  ,6  ,1  ,225,2931153,0     ,0 ,2334512,0      ,12
5749449ca122e8a203a530586a1f28f2,UDP     ,23   ,1    ,23   ,23 ,1  ,23 ,2749700,0     ,0 ,2647403,0      ,27
58c00bfa1a7cdeed42dec16b50b7a299,UDP     ,3    ,1    ,112  ,3  ,1  ,112,3718422,0     ,0 ,3084957,0      ,17
58fcb1f95687371795ab9dff690ba969,TCP     ,31284,24788,1    ,662,39 ,1  ,8753340,13701 ,0 ,1540251,270    ,20
59e410269c9f81d926f9de2343e6aa62,TCP     ,7031 ,6662 ,1    ,817,1  ,1  ,8484740,12627 ,0 ,1467814,0      ,13
5aa0246c05de3435cdd12603753fecb4,TCP     ,13595,12237,1    ,400,542,1  ,8228027,12050 ,6 ,1401473,571    ,8
5bdf5fc1273bda23ccaff90e5cffb40f,UDP     ,13   ,1    ,191  ,13 ,1  ,191,1250225,0     ,0 ,3135266,0      ,30
5c8e952b86c6f58a0635dd4a5bcd46e6,UDP     ,14   ,1    ,181  ,14 ,1  ,181,1917961,0     ,0 ,3135266,0      ,10
5cc22060a7e9457ee619db0c95efeadd,UDP     ,3    ,1    ,90   ,3  ,1  ,90 ,2048679,0     ,0 ,2950523,0      ,11
5d3064fec54e8e50c1eee178329cbed3,UDP     ,12   ,1    ,12   ,12 ,1  ,12 ,2775709,0     ,0 ,2846367,0      ,20
5db6ca9c77777d22f9efc0ba14d37993,TCP     ,15294,13606,1    ,348,433,1  ,8521010,13321 ,9 ,1546859,542    ,7
5e4a76b0128f0991638e03b3b0d7ce4d,TCP     ,33515,26157,1    ,660,12 ,1  ,7901566,12190 ,0 ,1388506,697    ,2
60db4bacc978b34e89ac9c58e8969957,TCP     ,16958,14956,1    ,322,348,1  ,8561591,12978 ,0 ,1493724,0      ,10
6174c4036ef81a53042d275341463199,TCP     ,2156 ,2350 ,1    ,940,46 ,1  ,2191290,5825  ,0 ,2015076,6090048,34
6297de9c19ce35bb4738bd3687512a9a,UDP     ,6    ,1    ,95   ,6  ,1  ,95 ,1124669,0     ,0 ,3135266,0      ,5
64be1c0b77483f14abbbdbb76d5ec305,TCP     ,14210,12781,1    ,390,567,1  ,7590126,11437 ,11,1308243,1035   ,19
6580a0015f03e7d63b56b7e2ca62908c,TCP     ,5048 ,4863 ,1    ,291,504,1  ,6731667,9966  ,11,1141849,0      ,15
65be65eff3db76438f48cab4c215ca37,TCP     ,23   ,1    ,1    ,23 ,1  ,1  ,9622134,0     ,0 ,1493353,49383  ,13
68387e4ccd91c2f0a78bd8050165b33a,UDP     ,2    ,1    ,63   ,2  ,1  ,63 ,1450537,0     ,0 ,3135266,13485  ,18
68a4dfd6ab5867239540d9492e83936b,TCP     ,1782 ,2010 ,1    ,945,45 ,1  ,2272878,2305  ,0 ,1957850,5694175,63
6a0d938f9c5df9d0888ccdb002ea142b,TCP     ,26114,21571,1    ,817,75 ,1  ,7138366,10155 ,2 ,1235413,283    ,24
6b443b1d79fc5ad00f9eaa65e08b5ae8,UDP     ,12   ,1    ,414  ,12 ,1  ,414,0      ,0     ,0 ,0      ,0      ,0
6c2b6b2d4e7fe0dedba454f8f999ab2d,TCP     ,34134,26572,1    ,584,1  ,1  ,7966854,12308 ,0 ,1396383,0      ,8
6c94d9829f082c1d8174d6086d840667,UDP     ,16   ,1    ,434  ,16 ,1  ,434,0      ,0     ,0 ,0      ,0      ,0
6cd82763f267059c349a88f60e7d51d4,TCP     ,12397,11321,1    ,151,706,1  ,8479664,13630 ,0 ,1485200,630    ,5
6e6319ae3c09a76f30317daf2361129a,TCP     ,9443 ,8792 ,1    ,656,87 ,1  ,8812569,13148 ,0 ,1531781,0      ,3
6e95b0eeb0038092b2c095d65bf0c7ee,TCP     ,15753,14013,1    ,368,402,1  ,6285104,9490  ,6 ,1087042,391    ,2
6ef82db6cb2b4f04fd0c4bb6785045fc,TCP     ,6466 ,6167 ,1    ,933,25 ,1  ,8586449,12395 ,4 ,1485071,1301   ,5
72666503ae7af37518dbba7c85c80418,UDP     ,6    ,1    ,120  ,6  ,1  ,120,3384788,0     ,0 ,3135266,0      ,13
730279c40f615bb3d6957a6182043425,UDP     ,8    ,1    ,199  ,8  ,1  ,199,1755909,0     ,0 ,3135266,0      ,19
7369c084ba677414c62078391642dbdb,TCP     ,5695 ,5485 ,1    ,253,419,1  ,5496554,8367  ,3 ,938065 ,0      ,15
73aad2822ec235e23082e2b5a2d8655d,TCP     ,13272,11992,1    ,145,623,1  ,8778132,13643 ,0 ,1515372,1316   ,8
74c05a70914089e0dc3c39f4c4648aac,UDP     ,18   ,1    ,544  ,18 ,1  ,544,0      ,0     ,0 ,0      ,0      ,0
75954540322b27440ec08f7fa1d8cf07,TCP     ,24   ,1    ,1    ,24 ,1  ,1  ,8380731,0     ,0 ,1298048,32687  ,10
76a5e6214eda4d214898ca5f3962922a,TCP     ,8580 ,8044 ,1    ,674,146,1  ,8320675,12377 ,2 ,1447564,28940  ,14
76c6ee3ef0095563819379d7860f026f,TCP     ,7293 ,6901 ,1    ,839,1  ,1  ,7057378,10342 ,6 ,1219832,0      ,5
773585c60c206e9a98146943e4fa70d7,TCP     ,12926,11767,1    ,165,672,1  ,6931224,11264 ,0 ,1257384,1038   ,3
778ac1da549ca9ed8a8f7b253cb8ede1,UDP     ,4    ,1    ,94   ,4  ,1  ,94 ,941318 ,0     ,0 ,3135266,8716   ,15
78bb5e4a381096b9e4d9c2fad4667c86,TCP     ,11198,10291,1    ,487,53 ,1  ,7978865,11190 ,0 ,1347831,4272   ,7
79941bc51f9879472fd484ce5542e554,TCP     ,19272,16727,1    ,329,259,1  ,7605752,12189 ,2 ,1386486,387    ,8
7a692d24819c8ec6ddc4e17b6eeff455,UDP     ,13   ,1    ,13   ,13 ,1  ,13 ,2826276,0     ,0 ,2218839,0      ,45
7ad76e2a6a959ed4b06f02ec51dcf566,UDP     ,16   ,1    ,144  ,16 ,1  ,144,1278474,0     ,0 ,3135266,0      ,9
7be5d0b068e5df261431496286c1e86f,UDP     ,3    ,1    ,124  ,3  ,1  ,124,3244425,0     ,0 ,3135266,0      ,19
7c48b9dc3286acde9c1419cd07be1c7d,UDP     ,6    ,1    ,137  ,6  ,1  ,137,1065098,0     ,0 ,3135266,0      ,4
7c4aea89cbb214c2decbcf8f54f82c9a,TCP     ,27219,22439,1    ,765,53 ,1  ,8362668,12543 ,0 ,1461761,613    ,11
7d6ec50671440bf773a76f0da7c5e1d8,TCP     ,6426 ,6123 ,1    ,927,32 ,1  ,8538768,10821 ,0 ,1441735,1327   ,7
7f19b44817e1d16ea99933c6bce54131,UDP     ,66423,41778,1    ,360,51 ,1  ,3422186,0     ,0 ,1451308,0      ,13
7f2b2ef41a396bbd0269a4801fd84274,UDP     ,37   ,1    ,37   ,37 ,1  ,37 ,2102929,0     ,0 ,3135266,0      ,39
7fc0cd836b1f8b32bae78b6cd7cacf46,TCP     ,1906 ,2047 ,1    ,978,14 ,1  ,6939785,53167 ,1 ,1983514,1399058,32
7ff63ada8c94b8d6064aa26f7e9efbac,UDP     ,15   ,1    ,172  ,15 ,1  ,172,1037143,0     ,0 ,3135266,5606   ,25
8300a94be92bd2f0ecf489eee728b626,UDP     ,5    ,1    ,132  ,5  ,1  ,132,1748668,0     ,0 ,3135266,3363   ,31
83612b86275de6b6d624f04e310fb903,UDP     ,18   ,1    ,18   ,18 ,1  ,18 ,3043952,0     ,0 ,2164808,0      ,19
8396012ed87a8538b18b325955170e82,TCP     ,13771,12446,1    ,365,556,1  ,7819737,12081 ,12,1373064,0      ,19
848629338acdeb4b38b6486a342aa949,TCP     ,5947 ,5670 ,1    ,968,18 ,1  ,8758128,12903 ,1 ,1493409,0      ,15
86bf22271e530d57313cc3c4d2e73c9d,UDP     ,16   ,1    ,401  ,16 ,1  ,401,0      ,0     ,0 ,0      ,0      ,0
86fdab682103f9ef28ed04ce7fd15e0a,TCP     ,32756,25765,1    ,649,12 ,1  ,0      ,0     ,0 ,0      ,0      ,0
8872a9dbe3bd77b5c0ada46e017d18b6,TCP     ,19528,16776,1    ,311,259,1  ,7930997,12131 ,0 ,1371222,423    ,8
88adde96b22526523c80ab58c04d48cd,TCP     ,10400,9616 ,1    ,488,67 ,1  ,7598510,11189 ,3 ,1319290,734    ,10
894d272c5ec151356713c9190e3e1db1,TCP     ,12372,11297,1    ,132,680,1  ,8117463,12618 ,3 ,1417093,670    ,3
