name                            ,protocol,src_ips,src_ports,dst_ports,TP     ,FP,UP,TN    ,FN     ,UN
a3e78a6e687223edf712320712686ab2,UDP     ,27     ,1        ,27       ,1672952,0 ,0 ,352347,33637  ,1
a60c98fd7a78dfdcded33d10dd889e2e,UDP     ,8      ,1        ,124      ,2110025,0 ,0 ,493107,34276  ,15
a89b7e2b2c68423fb5a2cd59bb938ea8,UDP     ,153    ,1        ,985      ,0      ,0 ,0 ,0     ,0      ,0
a8fa7478dc84619cc3ff106a04363c00,UDP     ,168    ,1        ,986      ,0      ,0 ,0 ,0     ,0      ,0
aa7f71f906200ade61bba505156343cc,TCP     ,3358   ,3280     ,1        ,0      ,0 ,0 ,0     ,0      ,0
abdc10fabdb343768c96dc3e3d30372a,UDP     ,15     ,1        ,640      ,0      ,0 ,0 ,0     ,0      ,0
acc4394329ad248f5e77c165804a0bc6,UDP     ,4      ,1        ,98       ,1018388,0 ,0 ,493106,0      ,1
acc74cb8fd63f0dfd10dae5bdecae42a,TCP     ,6      ,1        ,1        ,3119696,0 ,0 ,184167,6078   ,1
ae87f4dbbd8c4ccc941995ff673e29b0,UDP     ,20     ,1        ,455      ,830736 ,0 ,0 ,493107,1685   ,4
af254ac963139fc85e9a42ceaabc91d6,UDP     ,5      ,1        ,145      ,1058681,0 ,0 ,493107,17832  ,2
af7af871db3ea21fe00c37f70e6d11cb,UDP     ,6      ,1        ,244      ,1002679,0 ,0 ,493107,8186   ,19
b0bed1288522fdc2bffea0396ba00084,UDP     ,5      ,1        ,157      ,840693 ,0 ,0 ,493107,0      ,1
b13265de1c866fb86021595e564a2ff2,UDP     ,2      ,1        ,48       ,1973300,0 ,0 ,493107,0      ,6
b31fef7a664bc7101a0754852a977026,UDP     ,16     ,1        ,486      ,635792 ,0 ,0 ,493107,2594   ,3
b7277b9c14fe85b3105ad3b623cbc6f0,TCP     ,188    ,7669     ,1        ,0      ,0 ,0 ,0     ,0      ,0
bd3dd0d241ed5dafb0837c557ffeb3c3,UDP     ,14     ,1        ,180      ,639982 ,0 ,0 ,493107,7111   ,1
bd9cb3b69f02c8fdba7efc5bb8a6a4db,UDP     ,47     ,1        ,47       ,1696142,0 ,0 ,378015,0      ,1
bef6d85dfd9a79b2da4f33fa7f666d59,TCP     ,140    ,5429     ,1        ,0      ,0 ,0 ,0     ,0      ,0
bf0d6dd9cc4e2914a0403eadc58e4973,UDP     ,15     ,1        ,321      ,716321 ,0 ,0 ,493107,4450   ,1
bf1727bdaefe5ddd4cef7fdfecdf2379,UDP     ,122    ,1        ,122      ,1618318,0 ,0 ,489418,0      ,1
bf658bd4e4dbe9d31c125f531a3d27ab,UDP     ,39     ,1        ,39       ,1851111,0 ,0 ,385348,0      ,2
